day,agent_id,agent_qM,agent_qE,agent_choice,agent_stored,agent_profit,agent_eta,agent_phi,agent_beta
43.0,3,1.626038157315435,0.6968734959923293,0.0,0.0,197.50697937981553,0.9,0.05351042504100474,2.7197046864039542
43.0,4,1.7566407888601998,0.7528460523686571,0.0,0.0,213.37064846987465,0.9,0.1619923928588926,2.080445818552535
43.0,5,1.8166463640085948,0.778562727432255,0.0,0.0,220.65923505081608,0.9,0.14622528649316513,2.5756510141648885
43.0,6,1.568762223911706,0.6723266673907312,0.0,0.0,190.5499491607913,0.9,0.14782401255865624,2.705283399854406
43.0,7,1.7131295679519851,0.7341983862651364,0.0,0.0,208.0855512093666,0.9,0.1716110504922917,2.630147340411473
43.0,8,1.7392063321785414,0.745374142362232,0.0,0.0,211.2529694591879,0.9,0.183549492065181,2.6805891325622566
43.0,9,1.6027524698594706,0.6868939156540588,0.0,0.0,194.67857970695482,0.9,0.2842422896611452,2.0227825756686584
43.0,10,1.992621518076429,0.8539806506041839,0.0,0.0,242.0340846934701,0.9,0.2595816412983541,2.9184820619953316
43.0,11,1.9522085850413078,0.8366608221605605,0.0,0.0,237.12532145459045,0.9,0.1771500325156583,2.3114460010002067
43.0,12,1.7990965782460218,0.7710413906768665,0.0,0.0,218.5275475752581,0.9,0.2867264589144728,2.6337478522492526
43.0,13,1.8363172655272506,0.7869931137973931,0.0,0.0,223.04856418380632,0.9,0.15056676877976988,2.7018296239336754
43.0,14,1.7535769131920125,0.7515329627965768,0.0,0.0,212.99849433210332,0.9,0.2522614643400906,2.8750163314802712
43.0,15,1.5207316190115348,0.6517421224335149,0.0,0.0,184.71590421606498,0.9,0.1820864942149482,2.097784341800659
43.0,16,1.623156296520288,0.6956384127944091,0.0,0.0,197.15693370709752,0.9,0.18021638210354973,2.6507832381497374
43.0,17,1.920174971668954,0.822932130715266,0.0,0.0,233.23435359056447,0.9,0.22808941312906045,2.9027101506193307
43.0,18,1.5342130159818008,0.6575198639922004,0.0,0.0,186.35342420994598,0.9,0.29547851753132637,2.289530853635867
43.0,19,1.7833703913140742,0.7643015962774603,0.0,0.0,216.61736381719714,0.9,0.1685011627843241,2.8408483326276714
43.0,20,2.008850810876786,0.8609360618043368,0.0,0.0,244.00537828461256,0.9,0.07116739228002779,2.749869571783086
43.0,21,1.633690011024225,0.700152861867525,0.0,0.0,198.43641298866422,0.9,0.13963009550238475,2.063857948943829
43.0,22,1.9276710651071935,0.8261447421887972,0.0,0.0,234.14486775376207,0.9,0.18659781557877841,2.151334368472891
43.0,23,1.5041899731784558,0.6446528456479096,0.0,0.0,182.70667061489536,0.9,0.10469327421803894,2.340220315051032
43.0,24,1.5680242314526416,0.672010384908275,0.0,0.0,190.4603087911978,0.9,0.0598539573445072,2.225090653676496
43.0,25,1.6891321811202076,0.7239137919086605,0.0,0.0,205.17070486038642,0.9,0.23946159556534563,2.990532562705562
43.0,26,1.8873598335267152,0.8088685000828779,0.0,0.0,229.24845769799487,0.9,0.09549223054655277,2.5068577868511275
43.0,27,1.5499256012617568,0.6642538291121814,0.0,0.0,188.26195584121803,0.9,0.15446651119907362,2.491830959096264
43.0,28,1.6552045306369958,0.7093733702729982,0.0,0.0,201.04967748212582,0.9,0.07632320616409123,2.549143766231777
43.0,29,1.5002532259465302,0.6429656682627987,0.0,0.0,182.22849299596223,0.9,0.27794582953238056,2.799341211421814
43.0,30,1.8703102607867603,0.801561540337183,0.0,0.0,227.17752867555146,0.9,0.28357239559289193,2.4861651007487353
44.0,1,1.8979960867559953,0.813426894323998,0.0,0.0,227.3024547180445,0.9,0.11472918757324084,2.5112747213686086
44.0,2,1.6698434177847825,0.7156471790506211,0.0,0.0,199.97907820030508,0.9,0.27554148760989566,2.3101475693193327
44.0,3,1.5230239712227116,0.6527245590954478,0.0,0.0,182.39610169325508,0.9,0.05351042504100474,2.7197046864039542
44.0,4,1.920360195334271,0.8230115122861161,0.0,0.0,229.9807620195687,0.9,0.1619923928588926,2.080445818552535
44.0,5,2.009954798610094,0.861409199404326,0.0,0.0,240.7105382273223,0.9,0.14622528649316513,2.5756510141648885
44.0,6,1.747613743545402,0.7489773186623151,0.0,0.0,209.29278863045906,0.9,0.14782401255865624,2.705283399854406
44.0,7,1.6681225484071598,0.7149096636030685,0.0,0.0,199.77298829500324,0.9,0.1716110504922917,2.630147340411473
44.0,8,1.7606185759703386,0.7545508182730022,0.0,0.0,210.85023669582216,0.9,0.183549492065181,2.6805891325622566
44.0,9,1.6302969538695151,0.6986986945155065,0.0,0.0,195.24302611564423,0.9,0.2842422896611452,2.0227825756686584
44.0,10,1.6837139183543095,0.721591679294704,0.0,0.0,201.640197972691,0.9,0.2595816412983541,2.9184820619953316
44.0,11,1.7870147072128955,0.7658634459483837,0.0,0.0,214.01141572477778,0.9,0.1771500325156583,2.3114460010002067
44.0,12,1.7067681895683404,0.7314720812435744,0.0,0.0,204.40115858543984,0.9,0.2867264589144728,2.6337478522492526
44.0,13,1.7774237778583593,0.7617530476535825,0.0,0.0,212.86281389123053,0.9,0.15056676877976988,2.7018296239336754
44.0,14,1.809564259235942,0.7755275396725466,0.0,0.0,216.71193158115727,0.9,0.2522614643400906,2.8750163314802712
44.0,15,1.9091170024835153,0.8181930010643638,0.0,0.0,228.63428646480975,0.9,0.1820864942149482,2.097784341800659
44.0,16,1.9405619158251242,0.8316693924964818,0.0,0.0,232.4001034972148,0.9,0.18021638210354973,2.6507832381497374
44.0,17,1.5722472494596187,0.673820249768408,0.0,0.0,188.29104112468536,0.9,0.22808941312906045,2.9027101506193307
44.0,18,1.7720085707030662,0.7594322445870284,0.0,0.0,212.2142931235673,0.9,0.29547851753132637,2.289530853635867
44.0,19,1.6653411924509762,0.7137176539075613,0.0,0.0,199.4398953868057,0.9,0.1685011627843241,2.8408483326276714
44.0,20,1.6892558541938698,0.7239667946545156,0.0,0.0,202.30389566364622,0.9,0.07116739228002779,2.749869571783086
44.0,21,1.7803394422983942,0.7630026181278833,0.0,0.0,213.21199147330174,0.9,0.13963009550238475,2.063857948943829
44.0,22,1.6680060673736448,0.7148597431601335,0.0,0.0,199.7590386219608,0.9,0.18659781557877841,2.151334368472891
