T,seed,metric,value
500,17,dCS,3403.67555538108
500,17,dSolar,1963.702841647516
500,17,dGasRent,-3033.735615711822
500,17,dTotal,2333.64278131678
500,18,f,0.6276
500,18,ratio,0.8641151944635445
500,18,profit,275.7150470482642
500,18,gas_M,60.411303759900946
500,18,gas_E,67.79859605477283
500,18,gas_total,128.20989981467378
500,18,gas_total_pct,2.627593689892209
500,18,cost_pct,-27.1495914298485
500,18,dCS,3384.6267618764105
500,18,dSolar,1988.1999368386387
500,18,dGasRent,-3036.815090578073
500,18,dTotal,2336.011608136978
500,19,f,0.6386999999999999
500,19,ratio,0.881693072149875
500,19,profit,274.5995158149079
500,19,gas_M,61.06054080602815
500,19,gas_E,67.41977624765141
500,19,gas_total,128.48031705367956
500,19,gas_total_pct,2.6024129077613187
500,19,cost_pct,-27.13792950557104
500,19,dCS,3430.9326329885625
500,19,dSolar,1954.7542681570276
500,19,dGasRent,-3044.0839006475153
500,19,dTotal,2341.603000498084
1000,0,f,0.6359999999999999
1000,0,ratio,0.8768590955709954
1000,0,profit,274.96616457732785
1000,0,gas_M,60.891634223256
1000,0,gas_E,67.50995532917521
1000,0,gas_total,128.4015895524312
1000,0,gas_total_pct,2.843621752338956
1000,0,cost_pct,-26.957931407423086
1000,0,dCS,3365.6715216322737
1000,0,dSolar,1965.0640298194203
1000,0,dGasRent,-3013.024442124869
1000,0,dTotal,2317.7111093268168
1000,1,f,0.6361666666666667
1000,1,ratio,0.8800770091464891
1000,1,profit,274.97037178833193
1000,1,gas_M,60.855263302918154
1000,1,gas_E,67.30883817721394
1000,1,gas_total,128.1641014801321
1000,1,gas_total_pct,2.7288950269908643
1000,1,cost_pct,-27.204780368571324
1000,1,dCS,3409.6471692736486
1000,1,dSolar,1965.142676054419
1000,1,dGasRent,-3037.9246951854384
1000,1,dTotal,2336.8651501426366
1000,2,f,0.6357999999999999
1000,2,ratio,0.8795441720204643
1000,2,profit,274.8747233816684
1000,2,gas_M,60.83741132500338
1000,2,gas_E,67.35951798082668
1000,2,gas_total,128.19692930583005
1000,2,gas_total_pct,2.624053053165752
1000,2,cost_pct,-27.24375396841539
1000,2,dCS,3428.249494593554
1000,2,dSolar,1962.6353926272732
1000,2,dGasRent,-3047.021892776991
1000,2,dTotal,2343.8629944438344
1000,3,f,0.6340333333333333
1000,3,ratio,0.8736957745982552
1000,3,profit,275.0370859848584
1000,3,gas_M,60.77673125127508
1000,3,gas_E,67.62031671481289
1000,3,gas_total,128.39704796608797
1000,3,gas_total_pct,2.7473610189222164
